date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-09-11,13.0,8.0,15.999999999999998,10.0,2.0,3.0,54.79189109802246,24.11264419555664,20.747418493032455,13.40528130531311,1.3898198306560516,4.856906235218048
2022-09-12,26.0,12.0,21.0,13.0,2.0,3.0,56.90391540527344,24.89570903778076,20.757607102394104,13.345366716384888,1.37298122048378,4.991296827793121
2022-09-13,26.0,17.0,11.0,21.0,2.0,4.0,58.824880599975586,25.57866668701172,20.745720148086548,13.282983005046844,1.3590438663959503,5.114719271659851
2022-09-14,39.0,9.0,14.0,15.0,2.0,3.0,60.569480895996094,26.16701030731201,20.722210556268692,13.221856951713562,1.3468965888023376,5.226859450340271
2022-09-15,25.0,11.0,6.0,11.0,2.0,4.0,62.16093635559082,26.670418739318848,20.710460871458054,13.1492480635643,1.33545383810997,5.3268808126449585
2022-09-16,32.0,7.0,9.0,8.0,2.0,3.0,63.597049713134766,27.0975980758667,20.69795474410057,13.073857128620148,1.324942708015442,5.416190028190613
2022-09-17,20.0,4.0,13.0,7.000000000000001,2.0,3.0,64.8852481842041,27.46113395690918,20.676847368478775,13.002835214138031,1.3158351182937622,5.496693253517151
2022-09-18,8.0,2.0,10.0,9.0,2.0,3.0,66.04326438903809,27.771906852722168,20.64694744348526,12.937512993812561,1.308126449584961,5.569369792938232
2022-09-19,7.0,4.0,11.0,8.0,2.0,3.0,67.08848190307617,28.03717803955078,20.611203342676163,12.876851856708527,1.3015471398830414,5.634700059890747
2022-09-20,14.0,7.0,12.0,9.0,2.0,3.0,68.03390121459961,28.26229190826416,20.5723779797554,12.81992495059967,1.2958258390426636,5.693105459213257
2022-09-21,22.0,9.0,6.0,12.0,2.0,3.0,68.88959312438965,28.45202350616455,20.532480746507645,12.766200304031372,1.2907715141773224,5.745074152946472
2022-09-22,31.0,16.0,11.0,13.0,2.0,4.0,69.66419219970703,28.6109676361084,20.492866814136505,12.715302407741547,1.2862557172775269,5.791140198707581
2022-09-23,48.0,16.0,8.5,12.0,2.0,4.0,70.36474227905273,28.743392944335938,20.453359484672546,12.667746841907501,1.2822331488132477,5.8319175243377686
2022-09-25,50.50000000000001,16.0,6.0,11.0,2.0,4.0,70.99815559387207,28.853473663330078,20.413643330335617,12.624052166938782,1.2786713242530823,5.868017673492432
2022-09-26,53.0,18.0,7.0,10.0,2.0,4.0,71.5715503692627,28.94494342803955,20.37380450963974,12.584233283996582,1.275521069765091,5.899966359138489
2022-09-27,56.0,5.0,10.0,9.0,2.0,3.0,72.09166717529297,29.02086639404297,20.334199339151382,12.547975778579712,1.2727147340774536,5.928197503089905
2022-09-28,15.0,9.0,5.0,12.0,2.0,4.0,72.56438255310059,29.08369731903076,20.29518413543701,12.514910101890564,1.2701919674873352,5.953092575073242
2022-09-29,33.0,11.0,3.0,11.0,2.0,4.0,72.9946174621582,29.135464668273926,20.257004231214523,12.48473972082138,1.2679064273834229,5.974997282028198
2022-09-30,39.0,12.0,7.0,8.0,2.0,4.0,73.38664054870605,29.177919387817383,20.219788134098053,12.457264959812164,1.2658239901065826,5.994235277175903
2022-10-01,45.0,4.0,11.0,7.000000000000001,2.0,3.0,73.74422264099121,29.212592124938965,20.18354168534279,12.432338297367096,1.263919621706009,6.01110577583313
2022-10-02,12.0,6.0,11.0,6.0,2.0,3.0,74.07077407836914,29.240798950195312,20.148251742124557,12.40982785820961,1.2621738016605377,6.0258787870407104
